200c87a0 %
2ea9bf59 APCoefficient2Prefix
250f4722 APCoefficient3
86f0d8df APCoefficient3Postfix
62c5afa6 APCoefficient3Prefix
c390fc47 APCoefficientNL
8478a4c5 APDamage
7debac1c APDamage1
be7071f9 APDamage1Postfix
5d2df018 APDamage1Prefix
80ebb0d5 APDamage2
abb87252 APDamage2Postfix
ec29ac79 APDamage2Prefix
7febaf42 APDamage3
325d027f APDamage3Postfix
65d2f5c6 APDamage3Prefix
4e9a72e9 APDamageExtra
ab4b4d67 APDamageNL
788a6fc5 APDamagePerArrow
b5ee3d1c APDamagePerArrow1
ba109cf9 APDamagePerArrow1Postfix
7693f918 APDamagePerArrow1Prefix
b8ee41d5 APDamagePerArrow2
a7589d52 APDamagePerArrow2Postfix
58fb579 APDamagePerArrow2Prefix
b7ee4042 APDamagePerArrow3
2dfd2d7f APDamagePerArrow3Postfix
7f38fec6 APDamagePerArrow3Prefix
d7559067 APDamagePerArrowNL
1ca2510b APFlat
a7cf607b APFromMana
b3b41896 APGained
cf346fa APGrant
de119b5e APHeal
4b7afbd APHeal1
c027fd1a APHeal1Postfix
a493daa1 APHeal1Prefix
1b7ab04 APHeal2
3d491221 APHeal2Postfix
ee10dca0 APHeal2Prefix
2b7ac97 APHeal3
de8bccfc APHeal3Postfix
17caf48b APHeal3Prefix
3b8e30b4 APHealNL
234b9c35 APHealPerSecond
94069a4c APHealPerSecond1
6aef8689 APHealPerSecond1Postfix
84ce9d28 APHealPerSecond1Prefix
97069f05 APHealPerSecond2
a3452ee2 APHealPerSecond2Postfix
d8f3d909 APHealPerSecond2Prefix
96069d72 APHealPerSecond3
817af3cf APHealPerSecond3Postfix
34b9d2d6 APHealPerSecond3Prefix
293c5fd7 APHealPerSecondNL
6e16ee32 APHealing
5118aeb9 APHealing1
ef582bd6 APHealing1Postfix
c2809b4d APHealing1Prefix
4e18aa00 APHealing2
bb9967bd APHealing2Postfix
766f489c APHealing2Prefix
4f18ab93 APHealing3
